horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
3,rf_roll3_caret_cv,0.6588324557408062,0.8148848425516966,0.27454799054305074,1,variance,5,Fold8
3,rf_roll3_caret_cv,0.651462684184615,0.8214424042326092,0.2733588657169203,1,variance,10,Fold8
3,rf_roll3_caret_cv,0.6418058583367616,0.8285545214728067,0.271627353846832,1,variance,20,Fold8
3,rf_roll3_caret_cv,0.6618545496419838,0.8201726406800878,0.277303727923723,1,variance,5,Fold9
3,rf_roll3_caret_cv,0.6550383451759713,0.8253495898449407,0.2766959070076155,1,variance,10,Fold9
3,rf_roll3_caret_cv,0.6477601758286723,0.8310188087905747,0.27479381673113507,1,variance,20,Fold9
4,rf_roll3_caret_cv,0.7835562830970706,0.6337111396680953,0.28636482088871,1,variance,5,Fold1
4,rf_roll3_caret_cv,0.773522794584084,0.6433559384240708,0.2835075559174526,1,variance,10,Fold1
4,rf_roll3_caret_cv,0.7632327858794578,0.6535057393082176,0.2796395696782922,1,variance,20,Fold1
4,rf_roll3_caret_cv,0.7461102503337934,0.7690936524492052,0.29620835031209913,1,variance,5,Fold10
4,rf_roll3_caret_cv,0.7351452274112037,0.7763709283679957,0.29312091305867266,1,variance,10,Fold10
4,rf_roll3_caret_cv,0.7261394460459853,0.7832005427895925,0.29021170938858093,1,variance,20,Fold10
4,rf_roll3_caret_cv,0.7560225398580463,0.6943205613226493,0.2755974111516604,1,variance,5,Fold2
4,rf_roll3_caret_cv,0.7451993425249346,0.7045080413785489,0.27295232766017763,1,variance,10,Fold2
4,rf_roll3_caret_cv,0.7398294465409249,0.7103796270243374,0.27029787785655546,1,variance,20,Fold2
4,rf_roll3_caret_cv,0.8205094869308466,0.6522657368658343,0.2897717617450847,1,variance,5,Fold3
4,rf_roll3_caret_cv,0.806928530357123,0.6658120077986054,0.28758746187202366,1,variance,10,Fold3
4,rf_roll3_caret_cv,0.7826283360468752,0.6895930456536167,0.28381575017781785,1,variance,20,Fold3
4,rf_roll3_caret_cv,0.7939996430830745,0.7609478454368584,0.29251544970296667,1,variance,5,Fold4
4,rf_roll3_caret_cv,0.7784854069702213,0.7739366336123645,0.2911508983676275,1,variance,10,Fold4
4,rf_roll3_caret_cv,0.7593269849957871,0.7893992273794648,0.28815165313068086,1,variance,20,Fold4
4,rf_roll3_caret_cv,0.8207212176542745,0.7367277187539115,0.31842322752131286,1,variance,5,Fold5
4,rf_roll3_caret_cv,0.8082370451874019,0.7458726815040138,0.3157103596968324,1,variance,10,Fold5
4,rf_roll3_caret_cv,0.7914293334851308,0.7586462116510779,0.31137280179727267,1,variance,20,Fold5
4,rf_roll3_caret_cv,0.84705951547318,0.6953360178497572,0.34586270223699594,1,variance,5,Fold6
4,rf_roll3_caret_cv,0.833618227464814,0.7065990767272804,0.34276865789369443,1,variance,10,Fold6
4,rf_roll3_caret_cv,0.8167191712790801,0.7199810798290858,0.33831566350755904,1,variance,20,Fold6
4,rf_roll3_caret_cv,0.7067330104455316,0.7952638723105643,0.292459446645565,1,variance,5,Fold7
